station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,week,weekday,quarter,holiday,blackfriday
19,2012-01-02,25.0,15.0,20.0,-2.0,9.0,17.0,45.0,0.0,723.0,1629.0,SN,0.0,0.0,29.47,30.2,17.8,31.0,18.1,2012,1,2,1,0,1,'New Year's Day' observed,
20,2012-01-02,53.0,33.0,43.0,1.5555555555555556,21.0,35.0,22.0,0.0,,, ,0.0,0.0,29.9,30.62,7.9,34.0,8.6,2012,1,2,1,0,1,'New Year's Day' observed,
1,2012-01-03,32.0,11.0,22.0,-3.555555555555556,4.0,18.0,43.0,0.0,,, ,0.0,0.0,29.67,29.87,10.8,31.0,11.6,2012,1,3,1,1,1,,
2,2012-01-03,28.0,9.0,19.0,-6.0,4.0,16.0,46.0,0.0,716.0,1628.0, ,0.0,0.0,28.69,29.85,12.3,31.0,12.8,2012,1,3,1,1,1,,
3,2012-01-03,55.0,21.0,38.0,2.0,19.0,32.0,27.0,0.0,735.0,1721.0, ,0.0,0.0,29.55,30.34,11.6,17.0,11.8,2012,1,3,1,1,1,,
4,2012-01-03,62.0,31.0,47.0,-4.0,26.0,39.0,18.0,0.0,728.0,1743.0, ,0.0,0.0,29.7,30.48,3.1,17.0,4.2,2012,1,3,1,1,1,,
6,2012-01-03,62.0,25.0,44.0,-5.0,26.0,37.0,21.0,0.0,727.0,1743.0, ,0.0,0.0,29.88,30.48,5.4,18.0,5.8,2012,1,3,1,1,1,,
7,2012-01-03,60.0,27.0,44.0,-3.555555555555556,22.0,35.0,21.0,0.0,,, ,0.0,0.0,28.84,30.3,15.7,19.0,15.9,2012,1,3,1,1,1,,
8,2012-01-03,61.0,30.0,55.61960909134522,-3.555555555555556,28.0,38.0,12.155090275824184,2.8780588956686355,,, ,0.0,0.0,30.12,30.22833333333333,3.9,16.0,3.9,2012,1,3,1,1,1,,
9,2012-01-03,28.0,10.0,19.0,-3.555555555555556,11.0,18.0,46.0,0.0,,, ,0.0,0.0,29.26,30.12,8.9,16.0,9.2,2012,1,3,1,1,1,,
10,2012-01-03,48.0,34.0,41.0,-3.555555555555556,11.0,31.0,24.0,0.0,723.0,1739.0, ,0.0,0.0,30.27,30.33,11.8,31.0,12.1,2012,1,3,1,1,1,,
11,2012-01-03,44.0,25.0,35.0,-18.0,12.0,28.0,30.0,0.0,724.0,1738.0, ,0.0,0.0,30.26,30.33,9.3,31.0,9.7,2012,1,3,1,1,1,,
12,2012-01-03,47.0,34.0,41.0,-3.555555555555556,12.0,30.0,24.0,0.0,,, ,0.0,0.0,30.25,30.33,12.9,32.0,13.2,2012,1,3,1,1,1,,
13,2012-01-03,55.0,31.0,43.0,-3.555555555555556,16.0,33.0,22.0,0.0,,, ,0.0,0.0,24.4,30.23,2.9,21.0,6.3,2012,1,3,1,1,1,,
14,2012-01-03,60.0,24.0,42.0,5.0,23.0,33.0,23.0,0.0,740.0,1730.0, ,0.0,0.0,28.84,30.3,12.4,18.0,12.7,2012,1,3,1,1,1,,
15,2012-01-03,30.0,5.0,18.0,-3.0,2.0,14.0,47.0,0.0,718.0,1623.0, ,0.0,0.0,29.44,29.87,13.1,31.0,13.7,2012,1,3,1,1,1,,
16,2012-01-03,32.0,11.0,22.0,-3.555555555555556,6.0,18.0,43.0,0.0,,, ,0.0,0.0,29.7,29.84,10.2,31.0,10.9,2012,1,3,1,1,1,,
17,2012-01-03,55.0,19.0,37.0,-3.555555555555556,18.0,31.0,28.0,0.0,,, ,0.0,0.0,29.61,30.36,6.9,18.0,7.0,2012,1,3,1,1,1,,
18,2012-01-03,59.0,30.0,45.0,0.0,25.0,37.0,20.0,0.0,730.0,1734.0, ,0.0,0.0,29.84,30.41,8.8,17.0,9.1,2012,1,3,1,1,1,,
19,2012-01-03,26.0,10.0,18.0,-3.0,5.0,15.0,47.0,0.0,723.0,1630.0, ,0.0,0.0,29.43,30.26,5.5,23.0,9.2,2012,1,3,1,1,1,,
20,2012-01-03,59.0,30.0,45.0,-3.555555555555556,23.0,37.0,20.0,0.0,,, ,0.0,0.0,29.63,30.41,7.9,17.0,8.5,2012,1,3,1,1,1,,
1,2012-01-04,28.0,9.0,19.0,0.7777777777777778,-1.0,14.0,46.0,0.0,,, ,0.0,0.0,29.86,30.03,6.3,27.0,8.3,2012,1,4,1,2,1,,
2,2012-01-04,21.0,5.0,13.0,-11.0,0.0,11.0,52.0,0.0,716.0,1629.0, ,0.0,0.0,28.87,30.01,10.1,27.0,11.7,2012,1,4,1,2,1,,
3,2012-01-04,63.0,31.0,47.0,11.0,26.0,37.0,18.0,0.0,735.0,1722.0, ,0.0,0.0,29.53,30.27,2.5,31.0,4.9,2012,1,4,1,2,1,,
4,2012-01-04,73.0,41.0,57.0,6.0,39.0,47.0,8.0,0.0,728.0,1744.0, ,0.0,0.0,29.55,30.28,1.3,35.0,2.2,2012,1,4,1,2,1,,
6,2012-01-04,71.0,31.0,51.0,2.0,41.0,45.0,14.0,0.0,728.0,1744.0,BR,0.0,0.0,29.72,30.28,0.8,22.0,4.7,2012,1,4,1,2,1,,
7,2012-01-04,58.0,32.0,45.0,0.7777777777777778,28.0,37.0,20.0,0.0,,, ,0.0,0.0,28.9,30.31,5.0,33.0,7.4,2012,1,4,1,2,1,,
8,2012-01-04,72.0,37.0,56.1153675724241,0.7777777777777778,45.0,49.0,11.819641625449213,3.037892490625022,,, ,0.0,0.0,29.9,30.215555555555554,1.4,24.0,2.6,2012,1,4,1,2,1,,
9,2012-01-04,39.0,20.0,30.0,0.7777777777777778,22.0,26.0,35.0,0.0,,,BR,0.0,0.0,29.26,30.06,2.8,28.0,5.2,2012,1,4,1,2,1,,
10,2012-01-04,53.0,32.0,43.0,0.7777777777777778,16.0,33.0,22.0,0.0,724.0,1740.0, ,0.0,0.0,30.35,30.38,3.0,29.0,5.8,2012,1,4,1,2,1,,
11,2012-01-04,54.0,22.0,38.0,-15.0,15.0,29.0,27.0,0.0,724.0,1739.0, ,0.0,0.0,30.34,30.37,2.3,27.0,3.1,2012,1,4,1,2,1,,
12,2012-01-04,53.0,31.0,42.0,0.7777777777777778,17.0,32.0,23.0,0.0,,, ,0.0,0.0,30.34,30.38,2.7,32.0,4.2,2012,1,4,1,2,1,,
13,2012-01-04,58.0,27.0,43.0,0.7777777777777778,16.0,32.0,22.0,0.0,,, ,0.0,0.0,24.49,30.36,5.5,19.0,6.1,2012,1,4,1,2,1,,
14,2012-01-04,58.0,32.0,45.0,9.0,27.0,37.0,20.0,0.0,740.0,1731.0, ,0.0,0.0,28.89,30.29,6.1,34.0,7.6,2012,1,4,1,2,1,,
15,2012-01-04,23.0,3.0,13.0,-8.0,-1.0,11.0,52.0,0.0,718.0,1624.0, ,0.0,0.0,29.63,30.02,5.1,30.0,6.4,2012,1,4,1,2,1,,
16,2012-01-04,27.0,8.0,18.0,0.7777777777777778,-1.0,14.0,47.0,0.0,,, ,0.0,0.0,29.9,30.0,7.9,28.0,9.9,2012,1,4,1,2,1,,
17,2012-01-04,63.0,28.0,46.0,0.7777777777777778,25.0,36.0,19.0,0.0,,,RA,0.0,0.0,29.59,30.29,2.1,36.0,3.3,2012,1,4,1,2,1,,
18,2012-01-04,62.0,37.0,50.0,5.0,33.0,41.0,15.0,0.0,730.0,1734.0, ,0.0,0.0,29.75,30.28,0.8,15.0,5.5,2012,1,4,1,2,1,,
19,2012-01-04,34.0,24.0,29.0,8.0,17.0,25.0,36.0,0.0,723.0,1631.0, ,0.0,0.0,29.21,30.0,7.9,27.0,9.7,2012,1,4,1,2,1,,
20,2012-01-04,62.0,38.0,50.0,0.7777777777777778,32.0,41.0,15.0,0.0,,, ,0.0,0.0,29.54,30.27,1.1,32.0,4.9,2012,1,4,1,2,1,,
1,2012-01-05,38.0,25.0,32.0,7.222222222222222,13.0,25.0,33.0,0.0,,, ,0.0,0.0,29.67,29.84,6.9,25.0,7.8,2012,1,5,1,3,1,,
2,2012-01-05,31.0,20.0,26.0,2.0,12.0,21.0,39.0,0.0,716.0,1630.0, ,0.0,0.0,28.7,29.84,10.9,26.0,11.3,2012,1,5,1,3,1,,
3,2012-01-05,68.0,31.0,50.0,14.0,28.0,41.0,15.0,0.0,735.0,1723.0, ,0.0,0.0,29.35,30.11,7.3,19.0,7.6,2012,1,5,1,3,1,,
4,2012-01-05,70.0,44.0,57.0,6.0,41.0,49.0,8.0,0.0,728.0,1745.0, ,0.0,0.0,29.51,30.24,0.4,31.0,1.8,2012,1,5,1,3,1,,
6,2012-01-05,71.0,38.0,55.0,6.0,43.0,50.0,10.0,0.0,728.0,1745.0, ,0.0,0.0,29.68,30.24,0.3,25.0,2.3,2012,1,5,1,3,1,,
7,2012-01-05,66.0,28.0,47.0,7.222222222222222,29.0,40.0,18.0,0.0,,, ,0.0,0.0,28.71,30.13,12.2,20.0,12.4,2012,1,5,1,3,1,,
8,2012-01-05,70.0,46.0,56.354355369066674,7.222222222222222,46.0,52.0,11.562010293074607,3.0201396543709422,,, ,0.0,0.0,29.87,30.054444444444453,0.9,33.0,1.0,2012,1,5,1,3,1,,
9,2012-01-05,46.0,21.0,34.0,7.222222222222222,28.0,32.0,31.0,0.0,,,BR,0.0,0.0,28.95,29.73,0.9,17.0,2.1,2012,1,5,1,3,1,,
10,2012-01-05,68.0,36.0,52.0,7.222222222222222,37.0,45.0,13.0,0.0,724.0,1740.0, ,0.0,0.0,30.2,30.21,8.0,27.0,8.3,2012,1,5,1,3,1,,
11,2012-01-05,68.0,31.0,50.0,-3.0,35.0,41.0,15.0,0.0,724.0,1740.0, ,0.0,0.0,30.117836733019185,30.21,6.6,27.0,6.832897902154712,2012,1,5,1,3,1,,
12,2012-01-05,68.0,32.0,50.0,7.222222222222222,38.0,44.0,15.0,0.0,,, ,0.0,0.0,30.18,30.22,5.0,28.0,5.5,2012,1,5,1,3,1,,
13,2012-01-05,66.0,35.0,51.0,7.222222222222222,21.0,37.0,14.0,0.0,,, ,0.0,0.0,24.26,30.04,4.2,21.0,5.0,2012,1,5,1,3,1,,
14,2012-01-05,67.0,29.0,48.0,12.0,28.0,38.0,17.0,0.0,740.0,1732.0, ,0.0,0.0,28.71,30.14,9.8,21.0,10.3,2012,1,5,1,3,1,,
15,2012-01-05,36.0,17.0,27.0,6.0,13.0,22.0,38.0,0.0,718.0,1625.0, ,0.0,0.0,29.42,29.82,3.5,29.0,5.8,2012,1,5,1,3,1,,
16,2012-01-05,38.0,24.0,31.0,7.222222222222222,13.0,25.0,34.0,0.0,,, ,0.0,0.0,29.7,29.82,6.9,27.0,8.1,2012,1,5,1,3,1,,
17,2012-01-05,68.0,26.0,47.0,7.222222222222222,26.0,38.0,18.0,0.0,,, ,0.0,0.0,29.42,30.14,4.3,20.0,4.4,2012,1,5,1,3,1,,
18,2012-01-05,66.0,35.0,51.0,6.0,33.0,42.0,14.0,0.0,731.0,1735.0, ,0.0,0.0,29.66,30.21,2.7,18.0,2.9,2012,1,5,1,3,1,,
19,2012-01-05,47.0,26.0,37.0,16.0,26.0,33.0,28.0,0.0,723.0,1631.0, ,0.0,0.0,29.02,29.83,8.4,23.0,8.5,2012,1,5,1,3,1,,
20,2012-01-05,67.0,36.0,52.0,7.222222222222222,33.0,43.0,13.0,0.0,,, ,0.0,0.0,29.46,30.21,2.1,23.0,4.4,2012,1,5,1,3,1,,
1,2012-01-06,46.0,25.0,36.0,11.459755837089427,21.0,29.0,29.0,0.0,,,SN,0.04444444444444445,0.0,29.68,29.84,0.3,1.0,2.4,2012,1,6,1,4,1,,
2,2012-01-06,47.0,21.0,34.0,10.0,23.0,30.0,31.0,0.0,716.0,1630.0,SN,0.2,0.01,28.71,29.81,6.4,22.0,6.8,2012,1,6,1,4,1,,
3,2012-01-06,69.0,40.0,55.0,19.0,35.0,44.0,10.0,0.0,735.0,1724.0, ,0.0,0.0,29.16,29.89,6.1,18.0,9.6,2012,1,6,1,4,1,,
4,2012-01-06,74.0,55.0,65.0,14.0,52.0,45.69121269487003,0.0,0.0,728.0,1745.0,BR,0.0,0.0,29.26,30.24049118752852,4.2,19.0,5.4,2012,1,6,1,4,1,,
6,2012-01-06,75.0,43.0,49.46406666843489,-0.8621974661951627,54.0,57.0,16.271277427744828,0.5405647373893039,728.0,1745.0,BR,0.0,0.0,29.44,29.99,10.6,19.0,10.8,2012,1,6,1,4,1,,
7,2012-01-06,67.0,41.0,54.0,11.459755837089427,31.0,42.0,11.0,0.0,,, ,0.0,0.0,28.51,29.89,7.3,22.0,14.4,2012,1,6,1,4,1,,
8,2012-01-06,73.0,57.0,56.747910346949,11.459755837089427,53.0,58.0,11.04943558269158,2.9037534822234448,,,BR HZ,0.0,0.0,29.65,29.941138399307146,7.7,20.0,8.0,2012,1,6,1,4,1,,
9,2012-01-06,47.0,34.0,41.0,11.459755837089427,28.0,36.0,24.0,0.0,,, ,0.0,0.0,29.0,29.75,9.3,28.0,9.5,2012,1,6,1,4,1,,
10,2012-01-06,72.0,44.0,58.0,11.459755837089427,44.0,50.0,7.0,0.0,724.0,1741.0,FG+ BR,0.04444444444444445,0.0,30.14,30.16,2.8,21.0,4.4,2012,1,6,1,4,1,,
11,2012-01-06,71.0,36.0,54.0,1.0,40.0,46.0,11.0,0.0,725.0,1741.0,FG+ BR,0.0,0.0,30.12,30.16,1.8,25.0,2.1,2012,1,6,1,4,1,,
12,2012-01-06,70.0,38.0,54.0,11.459755837089427,43.0,48.0,11.0,0.0,,,FG+ BR,0.0,0.0,30.12,30.17,2.4,24.0,2.6,2012,1,6,1,4,1,,
13,2012-01-06,45.0,25.0,35.0,11.459755837089427,22.0,31.0,30.0,0.0,,, ,0.04444444444444445,0.0,24.21,30.01,3.6,12.0,6.2,2012,1,6,1,4,1,,
14,2012-01-06,67.0,37.0,52.0,16.0,31.0,42.0,13.0,0.0,740.0,1733.0, ,0.0,0.0,28.5,29.89,5.1,21.0,12.2,2012,1,6,1,4,1,,
15,2012-01-06,33.0,15.0,24.0,4.0,19.0,23.0,41.0,0.0,718.0,1626.0,SN,0.2,0.01,29.46,29.83,0.6,35.0,1.8,2012,1,6,1,4,1,,
16,2012-01-06,45.0,25.0,35.0,11.459755837089427,24.0,30.0,30.0,0.0,,, ,0.04444444444444445,0.0,29.72,29.82,1.6,19.0,2.6,2012,1,6,1,4,1,,
17,2012-01-06,69.0,34.0,52.0,11.459755837089427,34.0,43.0,13.0,0.0,,, ,0.0,0.0,29.23,29.92,3.4,19.0,7.5,2012,1,6,1,4,1,,
18,2012-01-06,73.0,48.0,61.0,16.0,46.0,53.0,4.0,0.0,731.0,1736.0, ,0.0,0.0,29.39,29.93,8.6,19.0,9.1,2012,1,6,1,4,1,,
19,2012-01-06,51.0,38.0,45.0,24.0,29.0,38.0,20.0,0.0,723.0,1632.0, ,0.0,0.0,28.95,29.71,7.2,27.0,7.9,2012,1,6,1,4,1,,
20,2012-01-06,74.0,50.0,62.0,11.459755837089427,47.0,54.0,3.0,0.0,,, ,0.0,0.0,29.19,29.93,7.0,19.0,8.0,2012,1,6,1,4,1,,
1,2012-01-07,57.0,28.0,43.0,11.555555555555555,28.0,36.0,22.0,0.0,,, ,0.0,0.0,29.57,29.76,3.0,26.0,3.6,2012,1,7,1,5,1,,
2,2012-01-07,56.0,37.0,47.0,23.0,29.0,38.0,18.0,0.0,716.0,1631.0, ,0.0,0.0,28.63,29.75,8.9,26.0,9.6,2012,1,7,1,5,1,,
3,2012-01-07,58.0,36.0,47.0,11.0,26.0,39.0,18.0,0.0,735.0,1725.0, ,0.0,0.0,29.36,30.06,8.2,1.0,8.9,2012,1,7,1,5,1,,
4,2012-01-07,69.0,49.0,59.0,8.0,44.0,46.11709801718692,6.0,0.0,729.0,1746.0,FG+ BR,0.0,0.0,29.480442881845303,30.227722688857583,1.0,30.0,2.3,2012,1,7,1,5,1,,
6,2012-01-07,70.0,46.0,58.0,9.0,45.0,51.0,7.0,0.0,728.0,1746.0,FG+ BR,0.0,0.0,29.47,30.0,1.6,33.0,3.4,2012,1,7,1,5,1,,
7,2012-01-07,58.0,33.0,46.0,11.555555555555555,25.0,37.0,19.0,0.0,,, ,0.0,0.0,28.69,30.06,9.8,2.0,10.4,2012,1,7,1,5,1,,
8,2012-01-07,68.0,54.0,57.74703449373735,11.555555555555555,51.0,54.0,10.129117970982296,2.97873146503595,,,FG+ FG BR,0.0,0.0,29.63,30.004317927158752,0.4,31.0,1.7,2012,1,7,1,5,1,,
9,2012-01-07,38.0,22.0,30.0,11.555555555555555,21.0,26.0,35.0,0.0,,, ,0.0,0.0,29.36,30.11,5.3,30.0,7.4,2012,1,7,1,5,1,,
10,2012-01-07,71.0,49.0,60.0,11.555555555555555,51.0,54.0,5.0,0.0,724.0,1742.0,FG+ FG BR,0.0,0.01,30.11,30.15,1.9,20.0,3.0,2012,1,7,1,5,1,,
11,2012-01-07,73.0,42.0,58.0,5.0,48.0,51.0,7.0,0.0,725.0,1742.0,FG+ FG BR,0.0,0.0,30.1,30.15,2.0,27.0,2.3,2012,1,7,1,5,1,,
12,2012-01-07,71.0,43.0,57.0,11.555555555555555,51.0,54.0,8.0,0.0,,,FG+ FG BR,0.0,0.01,30.09,30.15,1.9,25.0,2.4,2012,1,7,1,5,1,,
13,2012-01-07,39.0,22.0,31.0,11.555555555555555,23.0,27.0,34.0,0.0,,,SN FG+ FZFG BR,0.0,0.16,24.19,30.07,4.6,33.0,5.9,2012,1,7,1,5,1,,
14,2012-01-07,59.0,38.0,49.0,13.0,24.0,38.0,16.0,0.0,740.0,1734.0, ,0.0,0.0,28.66,30.05,11.0,3.0,11.8,2012,1,7,1,5,1,,
15,2012-01-07,44.0,22.0,33.0,13.0,25.0,29.0,32.0,0.0,718.0,1627.0, ,0.0,0.0,29.35,29.75,0.6,29.0,0.9,2012,1,7,1,5,1,,
16,2012-01-07,58.0,25.0,42.0,11.555555555555555,29.0,36.0,23.0,0.0,,, ,0.0,0.0,29.6,29.73,2.8,29.0,3.7,2012,1,7,1,5,1,,
17,2012-01-07,60.0,40.0,50.0,11.555555555555555,25.0,39.0,15.0,0.0,,, ,0.0,0.0,29.41,30.08,9.2,2.0,9.4,2012,1,7,1,5,1,,
18,2012-01-07,61.0,44.0,53.0,8.0,41.0,47.0,12.0,0.0,731.0,1737.0, ,0.0,0.0,29.47,29.98,4.3,31.0,6.4,2012,1,7,1,5,1,,
19,2012-01-07,41.0,29.0,35.0,14.0,23.0,31.0,30.0,0.0,722.0,1633.0, ,0.0,0.0,29.32,30.03,7.4,30.0,7.7,2012,1,7,1,5,1,,
20,2012-01-07,61.0,45.0,53.0,11.555555555555555,41.0,47.0,12.0,0.0,,, ,0.0,0.0,29.27,29.97,5.9,29.0,8.1,2012,1,7,1,5,1,,
1,2012-01-08,45.0,27.0,36.0,6.888888888888888,22.0,32.0,29.0,0.0,,, ,0.0,0.0,29.9,30.11,5.1,30.0,6.6,2012,1,8,1,6,1,,
2,2012-01-08,39.0,25.0,32.0,8.0,20.0,29.0,33.0,0.0,716.0,1633.0, ,0.0,0.0,28.95,30.11,10.8,29.0,11.0,2012,1,8,1,6,1,,
3,2012-01-08,53.0,33.0,43.0,7.0,28.0,38.0,22.0,0.0,735.0,1726.0, ,0.0,0.0,29.45,30.16,8.3,36.0,8.4,2012,1,8,1,6,1,,
4,2012-01-08,60.0,47.0,54.0,3.0,48.0,46.10966911859556,11.0,0.0,729.0,1747.0,RA HZ,0.0,0.05,29.31,30.21930395697257,2.4,3.0,3.6,2012,1,8,1,6,1,,
6,2012-01-08,61.0,42.0,52.0,3.0,49.0,52.0,13.0,0.0,728.0,1747.0,RA BR,0.0,0.01,29.47,30.0,7.7,2.0,8.1,2012,1,8,1,6,1,,
7,2012-01-08,51.0,39.0,45.0,6.888888888888888,26.0,37.0,20.0,0.0,,, ,0.0,0.0,28.78,30.16,10.6,1.0,10.8,2012,1,8,1,6,1,,
