date,item_nbr,logunits,store_nbr,units,station_nbr,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,week,weekday,quarter,holiday,blackfriday,isholiday,isblackfriday
2012-01-11,9,3.295836866004329,1,26.0,1,39.0,24.0,32.0,9.222222222222221,21.0,29.0,33.0,0.0,,, ,0.05555555555555555,0.0,29.91,30.1,3.4,7.0,4.2,2012,1,11,2,2,1,,,0,0
2012-01-12,9,3.4965075614664802,1,32.0,1,40.0,31.0,36.0,-1.1111111111111112,31.0,34.0,29.0,0.0,,,RA SN BR,1.4888888888888892,0.69,29.62,29.74,10.7,5.0,12.3,2012,1,12,2,3,1,,,0,0
2012-01-13,9,3.4011973816621555,1,29.0,1,50.0,30.0,40.0,-0.1111111111111111,27.0,32.0,25.0,0.0,,,RA FZRA FG+ FG BR UP,0.06666666666666668,0.02,29.24,29.41,8.7,24.0,12.7,2012,1,13,2,4,1,,,0,0
2012-01-14,9,3.8918202981106265,1,48.0,1,35.0,14.0,25.0,-0.2222222222222222,12.0,23.0,40.0,0.0,,, ,0.03333333333333333,0.0,29.58,29.81,11.1,28.0,12.5,2012,1,14,2,5,1,,,0,0
2012-01-15,9,3.713572066704308,1,40.0,1,16.0,4.0,10.0,-1.3333333333333333,-5.0,7.0,55.0,0.0,,, ,0.0,0.0,30.09,30.31,11.2,31.0,11.6,2012,1,15,2,6,1,,,0,0
2012-01-16,9,3.4657359027997265,1,31.0,1,32.0,8.0,20.0,11.777777777777779,3.0,17.0,45.0,0.0,,,SN BR,0.2222222222222222,0.05,30.29,30.43,5.1,23.0,7.1,2012,1,16,3,0,1,Martin Luther King Jr. Day,,1,0
2012-01-17,9,3.713572066704308,1,40.0,1,46.0,32.0,39.0,8.666666666666666,34.0,37.0,26.0,0.0,,,RA SN BR HZ,0.5444444444444444,0.09,29.72,29.82,4.9,21.0,5.9,2012,1,17,3,1,1,,,0,0
2012-01-18,9,3.091042453358316,1,21.0,1,50.0,19.0,35.0,0.3333333333333333,15.0,29.0,30.0,0.0,,,RA,0.0,0.0,29.55,29.79,13.7,29.0,15.9,2012,1,18,3,2,1,,,0,0
2012-01-19,9,3.58351893845611,1,35.0,1,31.0,13.0,22.0,2.888888888888889,11.0,20.0,43.0,0.0,,,SN BR,0.3111111111111111,0.02,30.03,30.18,1.4,4.0,2.9,2012,1,19,3,3,1,,,0,0
2012-01-20,9,3.6635616461296463,1,38.0,1,31.0,19.0,25.0,3.0,12.0,23.0,40.0,0.0,,,SN BR,0.4666666666666667,0.08,29.9,30.11,6.0,29.0,6.7,2012,1,20,3,4,1,,,0,0
2012-01-21,9,3.295836866004329,1,26.0,1,20.0,13.0,17.0,-2.5555555555555562,9.0,16.0,48.0,0.0,,,SN,0.6111111111111112,0.12,30.08,30.26,5.9,1.0,6.0,2012,1,21,3,5,1,,,0,0
2012-01-22,9,3.970291913552122,1,52.0,1,28.0,7.0,18.0,8.666666666666666,12.0,18.0,47.0,0.0,,, ,0.0,0.0,30.34,30.54,3.4,4.0,3.7,2012,1,22,3,6,1,,,0,0
2012-01-23,9,1.0986122886681098,1,2.0,1,48.0,27.0,38.0,9.111111111111107,30.0,34.0,27.0,0.0,,,RA BR,0.0,0.12,30.15,30.25,0.8,7.0,2.2,2012,1,23,4,0,1,,,0,0
2012-01-24,9,2.4849066497880004,1,11.0,1,55.0,41.0,48.0,11.888888888888893,39.0,44.0,17.0,0.0,,,BR,0.0,0.0,29.73,29.92,6.8,25.0,8.3,2012,1,24,4,1,1,,,0,0
2012-01-25,9,2.4849066497880004,1,11.0,1,42.0,35.0,39.0,9.111111111111107,23.0,32.0,26.0,0.0,,, ,0.0,0.0,29.97,30.15,8.2,28.0,8.7,2012,1,25,4,2,1,,,0,0
2012-01-26,9,3.4657359027997265,1,31.0,1,43.0,32.0,38.0,10.111111111111107,23.0,31.0,27.0,0.0,,,RA FZRA SN BR UP,0.05555555555555555,0.15,30.0,30.16,1.7,35.0,4.2,2012,1,26,4,3,1,,,0,0
2012-01-27,9,3.5263605246161616,1,33.0,1,45.0,34.0,40.0,9.111111111111107,36.0,38.0,25.0,0.0,,,RA BR,0.011111111111111113,1.14,29.46,29.57,3.2,36.0,7.5,2012,1,27,4,4,1,,,0,0
2012-01-28,9,4.7535901911063645,1,115.0,1,48.0,32.0,40.0,4.4444444444444455,27.0,35.0,25.0,0.0,,, ,0.05555555555555555,0.0,29.68,29.88,5.5,25.0,8.0,2012,1,28,4,5,1,,,0,0
2012-01-29,9,5.225746673713202,1,185.0,1,43.0,31.0,37.0,3.0,15.0,30.0,28.0,0.0,,, ,0.18888888888888888,0.0,29.83,30.01,10.4,25.0,11.4,2012,1,29,4,6,1,,,0,0
2012-01-30,9,4.30406509320417,1,73.0,1,39.0,25.0,32.0,5.222222222222221,15.0,27.0,33.0,0.0,,,SN,0.0,0.0,29.91,30.12,6.6,28.0,7.7,2012,1,30,5,0,1,,,0,0
2012-01-31,9,3.6888794541139363,1,39.0,1,44.0,25.0,35.0,13.777777777777779,26.0,31.0,30.0,0.0,,,SN BR,0.07777777777777778,0.0,30.0,30.14,2.4,3.0,3.4,2012,1,31,5,1,1,,,0,0
2012-02-01,9,4.110873864173311,1,60.0,1,56.0,31.0,44.0,15.111111111111107,33.0,37.0,21.0,0.0,,,RA FG+ FG FZFG BR HZ,0.0,0.01,29.72,29.88,4.5,26.0,5.1,2012,2,1,5,2,1,,,0,0
2012-02-02,9,4.343805421853684,1,76.0,1,43.0,30.0,37.0,11.555555555555555,26.0,32.0,28.0,0.0,,, ,0.0,0.0,29.88,30.07,4.4,4.0,7.1,2012,2,2,5,3,1,,,0,0
2012-02-03,9,4.653960350157523,1,104.0,1,38.0,23.0,31.0,13.111111111111107,13.0,26.0,34.0,0.0,,, ,0.0,0.0,30.14,30.32,6.5,31.0,7.7,2012,2,3,5,4,1,,,0,0
2012-02-04,9,5.337538079701318,1,207.0,1,39.0,26.0,33.0,7.1111111111111125,16.0,28.0,32.0,0.0,,, ,0.0,0.0,30.03,30.19,5.5,31.0,8.1,2012,2,4,5,5,1,,,0,0
2012-02-05,9,4.465908118654584,1,86.0,1,36.0,17.0,27.0,1.6666666666666667,8.0,22.0,38.0,0.0,,, ,0.0,0.0,29.96,30.13,2.5,28.0,3.7,2012,2,5,5,6,1,,,0,0
2012-02-06,9,3.871201010907891,1,47.0,1,52.0,26.0,39.0,3.0,18.0,31.0,26.0,0.0,,, ,0.0,0.0,29.78,29.92,9.0,23.0,9.5,2012,2,6,6,0,1,,,0,0
2012-02-07,9,3.4657359027997265,1,31.0,1,45.0,27.0,36.0,5.222222222222221,20.0,31.0,29.0,0.0,,, ,0.0,0.0,29.83,30.04,5.2,31.0,6.5,2012,2,7,6,1,1,,,0,0
2012-02-08,9,3.784189633918261,1,43.0,1,38.0,17.0,28.0,-1.2222222222222223,7.0,23.0,37.0,0.0,,, ,0.0,0.0,30.08,30.22,2.5,23.0,4.3,2012,2,8,6,2,1,,,0,0
2012-02-09,9,3.7612001156935624,1,42.0,1,48.0,27.0,38.0,0.7777777777777778,12.0,29.0,27.0,0.0,,, ,0.0,0.0,29.85,30.03,4.4,27.0,5.4,2012,2,9,6,3,1,,,0,0
2012-02-10,9,2.8903717578961645,1,17.0,1,51.0,25.0,38.0,1.5555555555555556,17.0,32.0,27.0,0.0,,, ,0.2111111111111111,0.0,29.86,30.01,6.0,21.0,6.5,2012,2,10,6,4,1,,,0,0
2012-02-11,9,3.9318256327243257,1,50.0,1,41.0,27.0,34.0,-8.333333333333334,23.0,31.0,31.0,0.0,,,SN,0.05555555555555555,0.0,29.57,29.69,5.6,35.0,7.5,2012,2,11,6,5,1,,,0,0
2012-02-12,9,4.394449154672439,1,80.0,1,27.0,13.0,20.0,-12.333333333333336,0.0,14.0,45.0,0.0,,, ,0.1,0.0,29.51,29.72,11.8,31.0,12.4,2012,2,12,6,6,1,,,0,0
2012-02-13,9,3.091042453358316,1,21.0,1,41.0,14.0,28.0,-5.111111111111111,11.0,24.0,37.0,0.0,,, ,0.2777777777777778,0.0,29.7,29.87,8.7,24.0,9.6,2012,2,13,7,0,1,,,0,0
2012-02-14,9,4.248495242049359,1,69.0,1,45.0,23.0,34.0,2.2222222222222223,15.0,28.0,31.0,0.0,,, ,0.0,0.0,29.89,30.08,2.5,21.0,3.0,2012,2,14,7,1,1,Valentine's Day,,1,0
2012-02-15,9,1.791759469228055,1,5.0,1,45.0,32.0,39.0,11.333333333333336,29.0,34.0,26.0,0.0,,,RA,0.0,0.0,29.99,30.18,0.5,3.0,0.6,2012,2,15,7,2,1,,,0,0
2012-02-16,9,4.007333185232471,1,54.0,1,47.0,27.0,37.0,6.666666666666668,30.0,35.0,28.0,0.0,,,RA BR,0.0,0.05,30.04,30.19,2.4,21.0,2.5,2012,2,16,7,3,1,,,0,0
2012-02-17,9,4.290459441148391,1,72.0,1,52.0,35.0,44.0,6.1111111111111125,30.0,38.0,21.0,0.0,,,RA BR,0.011111111111111113,0.0,29.77,29.92,6.6,25.0,8.0,2012,2,17,7,4,1,,,0,0
2012-02-18,9,3.4657359027997265,1,31.0,1,48.0,31.0,40.0,3.4444444444444446,22.0,32.0,25.0,0.0,,,RA,0.0,0.0,29.74,29.91,8.5,27.0,8.9,2012,2,18,7,5,1,,,0,0
2012-02-19,9,3.784189633918261,1,43.0,1,44.0,28.0,36.0,2.4444444444444446,18.0,29.0,29.0,0.0,,, ,0.0,0.0,29.86,30.03,6.0,32.0,6.6,2012,2,19,7,6,1,,,0,0
2012-02-20,9,3.332204510175204,1,27.0,1,41.0,24.0,33.0,2.7777777777777777,11.0,26.0,32.0,0.0,,, ,0.0,0.0,29.95,30.14,6.1,32.0,6.4,2012,2,20,8,0,1,Presidents' Day (Most regions),,1,0
2012-02-21,9,3.367295829986474,1,28.0,1,44.0,20.0,32.0,4.2222222222222205,19.0,29.0,33.0,0.0,,, ,0.04444444444444445,0.0,30.06,30.18,3.8,19.0,4.2,2012,2,21,8,1,1,,,0,0
2012-02-22,9,3.6109179126442243,1,36.0,1,56.0,34.0,45.0,13.333333333333336,29.0,39.0,20.0,0.0,,, ,0.0,0.0,29.52,29.65,6.0,23.0,6.7,2012,2,22,8,2,1,,,0,0
2012-02-23,9,2.70805020110221,1,14.0,1,51.0,39.0,45.0,13.444444444444445,32.0,39.0,20.0,0.0,,,RA,0.17777777777777778,0.07,29.33,29.52,4.7,29.0,5.8,2012,2,23,8,3,1,,,0,0
2012-02-24,9,3.2188758248682006,1,24.0,1,41.0,33.0,37.0,2.4444444444444446,30.0,35.0,28.0,0.0,,,RA SN BR,0.6111111111111112,0.77,29.52,29.62,2.4,6.0,3.5,2012,2,24,8,4,1,,,0,0
2012-02-25,9,4.110873864173311,1,60.0,1,44.0,31.0,38.0,-1.4444444444444444,22.0,32.0,27.0,0.0,,, ,0.0,0.0,29.17,29.39,17.7,27.0,18.3,2012,2,25,8,5,1,,,0,0
2012-02-26,9,3.871201010907891,1,47.0,1,39.0,25.0,32.0,0.1111111111111111,5.0,24.0,33.0,0.0,,, ,0.0,0.0,29.99,30.23,11.4,30.0,11.6,2012,2,26,8,6,1,,,0,0
2012-02-27,9,2.995732273553991,1,19.0,1,51.0,20.0,36.0,6.777777777777778,20.0,31.0,29.0,0.0,,, ,0.0,0.0,30.14,30.26,4.3,20.0,5.0,2012,2,27,9,0,1,,,0,0
2012-02-28,9,2.772588722239781,1,15.0,1,45.0,30.0,38.0,10.333333333333334,18.0,32.0,27.0,0.0,,, ,0.0,0.0,30.05,30.25,7.6,30.0,8.6,2012,2,28,9,1,1,,,0,0
2012-02-29,9,3.4339872044851463,1,30.0,1,37.0,30.0,34.0,8.444444444444445,21.0,29.0,31.0,0.0,,,SN FG BR,0.7,0.2,30.12,30.25,3.0,7.0,3.4,2012,2,29,9,2,1,,,0,0
2012-03-01,9,1.3862943611198906,1,3.0,1,35.0,23.0,29.0,7.333333333333332,26.0,28.0,36.0,0.0,,,SN FG+ FZFG BR,1.2666666666666666,0.47,29.72,29.89,12.6,4.0,13.8,2012,3,1,9,3,1,,,0,0
2012-03-02,9,2.772588722239781,1,15.0,1,31.0,21.0,26.0,6.0,21.0,24.0,39.0,0.0,,,SN BR,0.5222222222222223,0.0,29.97,30.13,3.6,3.0,4.2,2012,3,2,9,4,1,,,0,0
2012-03-03,9,3.828641396489095,1,45.0,1,43.0,30.0,37.0,1.5555555555555556,34.0,37.0,28.0,0.0,,,RA SN FG+ BR,0.2222222222222222,0.47,29.46,29.58,1.9,17.0,4.6,2012,3,3,9,5,1,,,0,0
2012-03-04,9,2.995732273553991,1,19.0,1,41.0,31.0,36.0,0.4838389226349342,21.0,31.0,29.0,0.0,,, ,0.1,0.0,29.44,29.62,5.3,24.0,5.8,2012,3,4,9,6,1,,,0,0
2012-03-05,9,4.060443010546419,1,57.0,1,35.0,22.0,29.0,0.7777777777777778,11.0,24.0,36.0,0.0,,, ,0.0,0.0,29.72,29.97,9.1,28.0,10.7,2012,3,5,10,0,1,,,0,0
2012-03-06,9,3.5263605246161616,1,33.0,1,38.0,17.0,28.0,5.4444444444444455,3.0,21.0,37.0,0.0,,, ,0.0,0.0,30.32,30.52,5.8,30.0,6.9,2012,3,6,10,1,1,,,0,0
2012-03-07,9,3.044522437723423,1,20.0,1,60.0,27.0,44.0,13.333333333333336,26.0,37.0,21.0,0.0,,, ,0.0,0.0,30.24,30.37,9.6,21.0,9.7,2012,3,7,10,2,1,,,0,0
2012-03-08,9,1.9459101490553132,1,6.0,1,71.0,49.0,60.0,8.0,44.0,51.0,5.0,0.0,,,RA HZ,0.0,0.0,29.88,29.99,17.8,21.0,17.9,2012,3,8,10,3,1,,,0,0
2012-03-09,9,2.5649493574615367,1,12.0,1,62.0,33.0,48.0,-1.8348871936519464,23.0,35.0,17.0,0.0,,,RA SN BR,0.0,0.03,29.78,30.0,7.9,29.0,9.6,2012,3,9,10,4,1,,,0,0
2012-03-10,9,3.7376696182833684,1,41.0,1,40.0,29.0,35.0,-1.8888888888888888,22.0,30.0,30.0,0.0,,,SN BR,0.05555555555555555,0.03,30.19,30.4,2.9,35.0,6.0,2012,3,10,10,5,1,,,0,0
2012-03-11,9,4.04305126783455,1,56.0,1,59.0,29.0,44.0,6.0,22.0,36.0,21.0,0.0,,, ,0.0,0.0,30.21,30.35,8.9,22.0,9.2,2012,3,11,10,6,1,,,0,0
2012-03-12,9,2.772588722239781,1,15.0,1,73.0,38.0,56.0,12.0,30.0,44.0,9.0,0.0,,, ,0.0,0.0,30.03,30.19,3.5,22.0,4.6,2012,3,12,11,0,1,,,0,0
2012-03-13,9,3.4011973816621555,1,29.0,1,74.0,53.0,64.0,16.444444444444443,46.0,54.0,1.0,0.0,,,RA BR,0.0,0.0,29.83,29.97,5.7,22.0,6.5,2012,3,13,11,1,1,,,0,0
2012-03-14,9,3.091042453358316,1,21.0,1,59.0,39.0,40.8644565307057,15.666666666666664,39.0,42.0,25.126677319797626,0.9557874072408744,,,BR,0.0,0.15,29.95,30.14,6.9,7.0,7.2,2012,3,14,11,2,1,,,0,0
2012-03-15,9,2.833213344056216,1,16.0,1,44.0,37.0,41.0,14.333333333333336,31.0,36.0,24.0,0.0,,, ,0.0,0.0,30.19,30.36,3.3,7.0,4.6,2012,3,15,11,3,1,,,0,0
2012-03-16,9,1.6094379124341003,1,4.0,1,44.0,37.0,41.0,13.111111111111107,35.0,38.0,24.0,0.0,,,RA BR,0.0,0.07,30.08,30.22,1.5,19.0,3.8,2012,3,16,11,4,1,,,0,0
2012-03-17,9,3.4011973816621555,1,29.0,1,53.0,39.0,46.0,15.111111111111107,39.0,43.0,19.0,0.0,,,FG BR,0.0,0.0,30.14,30.33,0.4,36.0,2.3,2012,3,17,11,5,1,St. Patrick's Day,,1,0
2012-03-18,9,3.828641396489095,1,45.0,1,79.0,40.0,60.0,16.666666666666668,43.0,51.0,5.0,0.0,,, ,0.0,0.0,30.06,30.21,6.6,22.0,6.8,2012,3,18,11,6,1,,,0,0
2012-03-19,9,2.70805020110221,1,14.0,1,80.0,45.0,63.0,15.222222222222221,44.0,51.0,2.0,0.0,,,BR,0.0,0.0,30.02,30.2,3.2,8.0,5.7,2012,3,19,12,0,1,,,0,0
2012-03-20,9,0.6931471805599453,1,1.0,1,82.0,41.0,62.0,10.333333333333334,45.0,53.0,3.0,0.0,,, ,0.0,0.0,30.11,30.28,3.1,21.0,4.1,2012,3,20,12,1,1,,,0,0
2012-03-21,9,2.1972245773362196,1,8.0,1,82.0,57.0,70.0,10.222222222222221,53.0,60.0,0.0,5.0,,, ,0.0,0.0,30.11,30.27,7.5,22.0,7.8,2012,3,21,12,2,1,,,0,0
2012-03-22,9,2.4849066497880004,1,11.0,1,85.0,57.0,71.0,10.777777777777779,52.0,60.0,0.0,6.0,,, ,0.0,0.0,29.95,30.08,5.0,24.0,6.1,2012,3,22,12,3,1,,,0,0
2012-03-23,9,2.302585092994046,1,9.0,1,75.0,58.0,67.0,9.666666666666666,34.0,52.0,0.0,2.0,,, ,0.0,0.0,29.9,30.06,9.2,33.0,9.7,2012,3,23,12,4,1,,,0,0
2012-03-24,9,3.1354942159291497,1,22.0,1,58.0,47.0,53.0,8.666666666666666,28.0,41.0,12.0,0.0,,,RA,0.0,0.0,29.96,30.12,2.5,10.0,4.8,2012,3,24,12,5,1,,,0,0
2012-03-25,9,4.219507705176107,1,67.0,1,48.0,42.0,45.0,7.078383703540335,38.0,42.0,20.0,0.0,,,RA BR,0.0,0.07,29.77,29.89,2.8,5.0,3.5,2012,3,25,12,6,1,,,0,0
2012-03-26,9,1.9459101490553132,1,6.0,1,47.0,32.0,40.0,5.222222222222221,20.0,33.0,25.0,0.0,,, ,0.0,0.0,29.6,29.8,12.1,32.0,13.2,2012,3,26,13,0,1,,,0,0
2012-03-27,9,2.0794415416798357,1,7.0,1,48.0,26.0,37.0,7.1111111111111125,0.0,27.0,28.0,0.0,,, ,0.0,0.0,29.95,30.13,10.4,32.0,10.6,2012,3,27,13,1,1,,,0,0
2012-03-28,9,3.2188758248682006,1,24.0,1,54.0,35.0,45.0,7.777777777777778,28.0,38.0,20.0,0.0,,,RA,0.0,0.01,29.7,29.8,1.0,17.0,4.3,2012,3,28,13,2,1,,,0,0
2012-03-29,9,2.995732273553991,1,19.0,1,46.0,39.0,43.0,7.666666666666668,32.0,38.0,22.0,0.0,,,RA,0.0,0.02,29.55,29.76,6.0,35.0,7.6,2012,3,29,13,3,1,,,0,0
2012-03-30,9,3.970291913552122,1,52.0,1,50.0,34.0,42.0,8.222222222222221,15.0,33.0,23.0,0.0,,, ,0.0,0.0,29.82,30.0,7.9,32.0,8.5,2012,3,30,13,4,1,,,0,0
2012-03-31,9,3.332204510175204,1,27.0,1,48.0,33.0,41.0,7.666666666666668,27.0,35.0,24.0,0.0,,, ,0.011111111111111113,0.0,29.82,29.97,4.0,7.0,5.1,2012,3,31,13,5,1,,,0,0
2012-04-01,9,4.2626798770413155,1,70.0,1,53.0,29.0,41.0,10.0,31.0,37.0,24.0,0.0,,,RA BR,0.0,0.15,29.64,29.77,1.7,20.0,2.9,2012,4,1,13,6,2,,,0,0
2012-04-02,9,3.5553480614894135,1,34.0,1,55.0,37.0,46.0,10.0,23.0,37.0,19.0,0.0,,,RA,0.0,0.03,29.52,29.7,10.1,34.0,10.8,2012,4,2,14,0,2,,,0,0
2012-04-03,9,3.091042453358316,1,21.0,1,59.0,31.0,45.0,7.125162769731505,11.0,34.0,20.0,0.0,,, ,0.0,0.0,29.62,29.77,8.2,32.0,8.5,2012,4,3,14,1,2,,,0,0
2012-04-04,9,2.8903717578961645,1,17.0,1,63.0,38.0,51.0,5.111111111111111,22.0,39.0,14.0,0.0,,, ,0.0,0.02,29.44,29.59,7.9,30.0,8.7,2012,4,4,14,2,2,,,0,0
2012-04-05,9,2.9444389791664403,1,18.0,1,52.0,37.0,45.0,2.7777777777777777,23.0,35.0,20.0,0.0,,, ,0.0,0.0,29.6,29.79,9.0,32.0,10.0,2012,4,5,14,3,2,,,0,0
2012-04-06,9,3.1780538303479458,1,23.0,1,53.0,32.0,43.0,1.8888888888888888,19.0,34.0,22.0,0.0,,, ,0.0,0.0,29.76,29.93,6.7,31.0,7.7,2012,4,6,14,4,2,,,0,0
2012-04-07,9,3.1354942159291497,1,22.0,1,56.0,33.0,45.0,3.888888888888889,21.0,35.0,20.0,0.0,,, ,0.0,0.0,29.82,29.98,3.1,34.0,5.3,2012,4,7,14,5,2,,,0,0
2012-04-08,9,3.4657359027997265,1,31.0,1,50.0,40.0,45.0,3.2222222222222223,26.0,38.0,20.0,0.0,,, ,0.0,0.0,29.63,29.75,4.7,31.0,6.1,2012,4,8,14,6,2,Easter Sunday,,1,0
2012-04-09,9,3.784189633918261,1,43.0,1,55.0,37.0,46.0,4.2222222222222205,30.0,41.0,19.0,0.0,,,RA,0.0,0.0,29.37,29.53,13.5,26.0,14.2,2012,4,9,15,0,2,,,0,0
2012-04-10,9,2.70805020110221,1,14.0,1,62.0,43.0,53.0,4.111111111111111,27.0,41.0,12.0,0.0,,, ,0.0,0.0,29.47,29.65,6.6,25.0,7.9,2012,4,10,15,1,2,,,0,0
2012-04-11,9,2.70805020110221,1,14.0,1,60.0,42.0,51.0,2.0,31.0,41.0,14.0,0.0,,, ,0.0,0.0,29.65,29.82,1.4,3.0,4.1,2012,4,11,15,2,2,,,0,0
2012-04-12,9,3.295836866004329,1,26.0,1,57.0,39.0,48.0,3.2222222222222223,38.0,42.0,17.0,0.0,,,RA,0.0,0.21,29.8,29.99,3.1,1.0,4.6,2012,4,12,15,3,2,,,0,0
2012-04-13,9,3.828641396489095,1,45.0,1,65.0,34.0,50.0,5.0,28.0,41.0,15.0,0.0,,, ,0.0,0.0,29.93,30.08,4.1,30.0,4.6,2012,4,13,15,4,2,,,0,0
2012-04-14,9,2.8903717578961645,1,17.0,1,72.0,39.0,56.0,9.333333333333334,26.0,44.0,9.0,0.0,,, ,0.0,0.0,29.9,30.05,4.6,23.0,5.9,2012,4,14,15,5,2,,,0,0
2012-04-15,9,3.332204510175204,1,27.0,1,80.0,51.0,66.0,7.666666666666668,45.0,56.0,0.0,1.0,,, ,0.0,0.0,29.78,29.95,7.1,24.0,7.4,2012,4,15,15,6,2,,,0,0
2012-04-16,9,1.791759469228055,1,5.0,1,92.0,62.0,77.0,6.1111111111111125,54.0,63.0,0.0,12.0,,,RA,0.0,0.02,29.79,29.94,6.0,21.0,6.5,2012,4,16,16,0,2,,,0,0
2012-04-17,9,2.1972245773362196,1,8.0,1,83.0,59.0,71.0,4.5555555555555545,37.0,55.0,0.0,6.0,,, ,0.0,0.0,29.81,30.0,7.6,29.0,9.6,2012,4,17,16,1,2,Tax Day,,1,0
2012-04-18,9,3.044522437723423,1,20.0,1,63.0,46.0,55.0,4.2222222222222205,31.0,44.0,10.0,0.0,,, ,0.0,0.0,30.03,30.19,2.1,33.0,5.5,2012,4,18,16,2,2,,,0,0
2012-04-19,9,2.8903717578961645,1,17.0,1,71.0,41.0,56.0,5.0,39.0,48.0,9.0,0.0,,, ,0.0,0.0,29.9,30.05,2.0,19.0,4.5,2012,4,19,16,3,2,,,0,0
2012-04-20,9,3.044522437723423,1,20.0,1,80.0,49.0,65.0,2.0,42.0,53.0,0.0,0.0,,, ,0.0,0.0,29.8,29.95,7.4,20.0,8.0,2012,4,20,16,4,2,,,0,0
2012-04-21,9,2.995732273553991,1,19.0,1,79.0,57.0,68.0,1.5555555555555556,52.0,58.0,0.0,3.0,,, ,0.0,0.0,29.63,29.77,7.4,20.0,8.1,2012,4,21,16,5,2,,,0,0
2012-04-22,9,3.4657359027997265,1,31.0,1,63.0,43.0,53.0,-0.8888888888888888,46.0,48.0,12.0,0.0,,,RA BR,0.0,0.88,29.62,29.78,10.1,4.0,11.8,2012,4,22,16,6,2,,,0,0
2012-04-23,9,2.3978952727983707,1,10.0,1,66.0,43.0,55.0,-2.5555555555555562,50.0,52.0,10.0,0.0,,,RA BR,0.0,1.67,29.25,29.39,5.0,9.0,10.1,2012,4,23,17,0,2,,,0,0
2012-04-24,9,2.302585092994046,1,9.0,1,60.0,47.0,54.0,-0.2222222222222222,33.0,44.0,11.0,0.0,,, ,0.0,0.0,29.35,29.54,9.0,21.0,10.1,2012,4,24,17,1,2,,,0,0
2012-04-25,9,2.0794415416798357,1,7.0,1,64.0,44.0,54.0,4.666666666666667,32.0,43.0,11.0,0.0,,, ,0.0,0.0,29.6,29.79,8.3,26.0,8.9,2012,4,25,17,2,2,,,0,0
2012-04-26,9,2.5649493574615367,1,12.0,1,65.0,39.0,52.0,5.222222222222221,36.0,44.0,13.0,0.0,,,RA BR,0.0,0.02,29.67,29.8,3.1,16.0,5.2,2012,4,26,17,3,2,,,0,0
2012-04-27,9,4.04305126783455,1,56.0,1,56.0,39.0,48.0,4.5555555555555545,33.0,43.0,17.0,0.0,,,RA BR,0.0,0.04,29.51,29.72,13.7,29.0,14.0,2012,4,27,17,4,2,,,0,0
